"cumulative_customer_share","cumulative_revenue_share"
0.8579,0.545
0.8589,0.5465
0.8599,0.5481
0.8609,0.5496
0.8619,0.5512
0.8629,0.5528
0.8639,0.5543
0.8649,0.556
0.8659,0.5575
0.8669,0.5592
0.8679,0.5608
0.8689,0.5624
0.8699,0.564
0.8709,0.5657
0.8719,0.5673
0.8729,0.5689
0.8739,0.5706
0.8749,0.5723
0.8759,0.574
0.8769,0.5756
0.8779,0.5773
0.8789,0.579
0.8799,0.5808
0.8809,0.5825
0.8819,0.5842
0.8829,0.586
0.8839,0.5877
0.8849,0.5895
0.8859,0.5913
0.8869,0.5931
0.8879,0.5949
0.8889,0.5967
0.8899,0.5985
0.8909,0.6003
0.8919,0.6022
0.8929,0.604
0.8939,0.6059
0.8949,0.6078
0.8959,0.6097
0.8969,0.6116
0.8979,0.6135
0.8989,0.6154
0.8999,0.6173
0.9009,0.6192
0.9019,0.6212
0.9029,0.6231
0.9039,0.6251
0.9049,0.627
0.9059,0.629
0.9069,0.631
0.9079,0.633
0.9089,0.6351
0.9099,0.6371
0.9109,0.6391
0.9119,0.6412
0.9129,0.6433
0.9139,0.6454
0.9149,0.6475
0.9159,0.6496
0.9169,0.6517
0.9179,0.6539
0.9189,0.656
0.9199,0.6582
0.9209,0.6604
0.9219,0.6626
0.9229,0.6648
0.9239,0.667
0.9249,0.6693
0.9259,0.6715
0.9269,0.6738
0.9279,0.6761
0.9289,0.6784
0.9299,0.6807
0.9309,0.683
0.9319,0.6854
0.9329,0.6878
0.9339,0.6902
0.9349,0.6926
0.9359,0.6951
0.9369,0.6975
0.9379,0.7
0.9389,0.7025
0.9399,0.7051
0.9409,0.7076
0.9419,0.7102
0.9429,0.7128
0.9439,0.7154
0.9449,0.7181
0.9459,0.7208
0.9469,0.7235
0.9479,0.7263
0.9489,0.7291
0.9499,0.7319
0.9509,0.7347
0.9519,0.7377
0.9529,0.7406
0.954,0.7436
0.9549,0.7466
0.956,0.7497
0.957,0.7528
0.958,0.756
0.959,0.7592
0.96,0.7625
0.961,0.7658
0.962,0.7691
0.963,0.7726
0.964,0.7761
0.965,0.7796
0.966,0.7833
0.967,0.787
0.968,0.7907
0.969,0.7945
0.97,0.7983
0.971,0.8022
0.972,0.8061
0.973,0.8102
0.974,0.8143
0.975,0.8185
0.976,0.8228
0.977,0.8272
0.978,0.8317
0.979,0.8363
0.98,0.841
0.981,0.8459
0.982,0.8508
0.983,0.8559
0.984,0.8611
0.985,0.8665
0.986,0.872
0.987,0.8778
0.988,0.8837
0.989,0.89
0.99,0.8964
0.991,0.9032
0.992,0.9105
0.993,0.9181
0.994,0.9262
0.995,0.9346
0.996,0.9439
0.997,0.9541
0.998,0.9658
0.999,0.9789
1,1
